STCNTYBR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6053,6724417.0,7153266.0,7301233.0,7411452.0,7448033.0,7757107.0,8095276.0,8562575.0,8944905.0,9191474.0,9562432.0
6055,2590090.0,2651480.0,2696839.0,2702192.0,2953434.0,3325287.0,3375813.0,3709299.0,3936301.0,4174317.0,4296774.0
6057,1689110.0,1614667.0,1600712.0,1591200.0,1660189.0,1623508.0,1735482.0,1942558.0,2008710.0,2180993.0,2143140.0
6059,72122170.0,74238708.0,76244605.0,77388968.0,83038304.0,86678674.0,99201865.0,112370837.0,122416858.0,123191042.0,128348373.0
6061,6802407.0,7149159.0,7248794.0,7725352.0,9636035.0,10357922.0,11844355.0,12583046.0,12233345.0,11214350.0,10956527.0
6063,320469.0,337716.0,311972.0,307955.0,271029.0,281321.0,301376.0,324193.0,329428.0,349548.0,349454.0
6065,20802080.0,20293433.0,20312830.0,20080044.0,21015669.0,21544926.0,23070938.0,24979440.0,26621690.0,27630802.0,28076937.0
6067,34169049.0,19746156.0,20330590.0,21891613.0,23210056.0,26834196.0,28273025.0,30295764.0,32447098.0,35096311.0,37312467.0
6069,646396.0,624861.0,602564.0,603259.0,597607.0,647566.0,681600.0,725761.0,803190.0,870213.0,889159.0
6071,16564354.0,16346473.0,16337733.0,16287780.0,17081117.0,18289637.0,19499169.0,20859011.0,22529463.0,24001692.0,25179395.0
6073,52224589.0,53455752.0,56835492.0,60886019.0,64224189.0,69246063.0,73882876.0,79611044.0,86113207.0,89492498.0,91328025.0
6075,130836358.0,142885097.0,156159125.0,199058942.0,186573327.0,198620618.0,193608252.0,204216215.0,212299667.0,216443661.0,225752728.0
6077,7339506.0,7201114.0,7367801.0,7363981.0,7619809.0,8155673.0,8583449.0,9266246.0,10012010.0,10384512.0,10861046.0
6079,4877255.0,5016512.0,5053236.0,5180655.0,5329547.0,5579998.0,5926257.0,6114121.0,6435455.0,6527827.0,6870814.0
6081,20528467.0,21314136.0,22944161.0,22954439.0,25416244.0,28495226.0,31279057.0,34316533.0,38477689.0,41125280.0,42593326.0
6083,9557444.0,10068202.0,9896098.0,9824536.0,9819965.0,10266328.0,12492487.0,11936865.0,12322280.0,12738472.0,12670368.0
6085,56639890.0,62702158.0,68057380.0,73477864.0,81618041.0,99193496.0,114437681.0,123789242.0,134865696.0,141565280.0,146829514.0
6087,4224669.0,4172547.0,4235090.0,4308423.0,4441443.0,4729351.0,5439646.0,6076534.0,6133076.0,6165608.0,6269787.0
6089,2364239.0,2449362.0,2402162.0,2430368.0,2542000.0,2677432.0,2729994.0,2871256.0,3186440.0,3057514.0,3335579.0
6091,17789.0,7978.0,8800.0,7782.0,7571.0,8496.0,8263.0,9365.0,9868.0,8998.0,9592.0
